batch	id	adult	masculine	headwear	extra_people	usable_neck	facial_artifact_concerns	hot_candidate	note
b2	013	y	y	n	n	y	n	u	Mature adult masculine face; cheek microphone and glasses; appealing smile but not a clean calendar source.
b2	014	u	n	n	n	u	u	n	Youthful feminine presentation; adult status uncertain.
b2	015	y	y	n	y	u	n	y	Appealing adult bearded face; unmistakable second face at left; beard/tight crop limit collar.
b2	016	y	n	n	n	u	u	n	Mature feminine presentation; contact-only detail.
b2	017	y	n	n	u	u	u	n	Adult feminine presentation with glasses; background fragments ambiguous.
b2	018	y	y	y	y	y	u	u	Clearly adult bearded masculine face; red helmet and extra arm/hand at left; subjective appeal uncertain.
b2	019	y	n	n	n	u	u	n	Mature feminine presentation; neck largely obscured by garland/clothing.
b2	020	y	y	n	y	y	n	y	Appealing adult masculine face; useful neck; harsh sun and visibly crowded background.
b2	021	y	y	n	n	y	u	y	Appealing adult masculine face and bare head; sunglasses prevent eye-artifact assessment.
b2	022	y	n	n	n	u	u	n	Adult feminine presentation; lower neck mostly cropped.
b2	023	y	y	y	n	u	u	n	Mature masculine appearance; cap and beard; subjective calendar candidate no.
b2	024	y	n	n	n	u	u	n	Adult feminine presentation; downward gaze; contact-only detail.
b2	025	y	y	n	y	n	n	y	Appealing adult stubbled face; partial other-person fragment at left; chin almost at bottom edge.
b2	026	y	n	n	n	u	u	n	Adult feminine presentation; contact-only fine detail.
b2	027	y	n	n	n	u	u	n	Adult feminine presentation with glasses.
b2	028	y	n	y	n	u	u	n	Adult feminine presentation; head covering.
b2	029	y	n	y	n	u	u	n	Adult feminine presentation; graduation cap.
b2	030	u	n	n	n	u	u	n	Youthful feminine presentation; adult status uncertain.
b2	031	y	n	n	y	u	u	n	Adult feminine presentation; partial second face at right.
b2	032	y	n	n	n	u	u	n	Adult feminine presentation; contact-only detail.
b2	033	u	u	y	n	n	u	u	Young/age-ambiguous costumed face; wig/head ornament; do not treat as clearly adult.
b2	034	y	n	n	n	u	u	n	Mature feminine presentation with glasses.
b2	035	u	n	n	n	u	u	n	Youthful feminine presentation; adult status uncertain; glasses.
b2	036	y	n	y	n	n	u	n	Adult feminine presentation; broad hat and open-mouth expression.
b2	037	y	n	n	n	u	u	n	Adult feminine presentation with short hair; contact-only detail.
b2	038	y	y	y	n	u	u	n	Mature masculine appearance; white cap and sunglasses; eyes unassessable at contact size.
b2	039	u	n	n	y	n	u	n	Youthful feminine presentation; adult status uncertain; partial other person at upper right.
b2	040	y	y	n	n	n	n	u	Plausible mature adult face and glasses; chin touches lower boundary; subjective appeal uncertain.
b2	041	y	n	y	n	y	u	n	Adult feminine presentation; graduation cap.
b2	042	y	y	n	n	y	n	u	Plausible mature adult bald face, glasses, warm smile; tooth spacing plausible; subjective appeal uncertain.
b2	043	n	n	n	n	n	u	n	Child appearance; no attractiveness assessment.
b2	044	u	n	n	y	n	u	n	Youthful feminine presentation; adult status uncertain; partial second face.
b2	045	n	u	n	n	n	u	n	Child appearance; no attractiveness assessment.
b2	046	y	n	y	n	u	u	n	Adult feminine presentation; crown/tiara.
b2	047	y	y	y	n	y	u	u	Adult masculine appearance; graduation cap; subjective appeal uncertain from contact.
b2	048	n	u	n	y	n	u	n	Child appearance; another partial face at lower left; no attractiveness assessment.
b2	049	u	n	y	n	n	u	n	Very youthful/age-ambiguous costumed face with hat; no attractiveness assessment.
b2	050	y	y	n	n	y	n	n	Plausible mature adult bald face and glasses; not selected for subjective calendar aesthetic.
b2	051	y	y	n	n	y	n	u	Plausible mature adult angular face, red hair and clean background; subjective hot criterion uncertain.
b2	052	u	n	n	u	u	u	n	Youthful feminine presentation; adult status uncertain; background person fragment ambiguous.
b2	053	y	y	n	y	n	u	n	Adult masculine appearance with glasses; extreme open-mouth expression and large second face.
b2	054	n	n	y	n	n	u	n	Child appearance; prominent hair ornament; no attractiveness assessment.
b2	055	y	y	n	n	y	n	y	Appealing adult masculine face and glasses; usable high-neck clothing and clean background.
b2	056	y	n	n	n	u	u	n	Adult feminine presentation; warm colored light; contact-only detail.
b2	057	n	u	n	n	n	u	n	Child appearance; no attractiveness assessment.
b2	058	y	y	n	n	y	n	n	Plausible older adult masculine face with mustache; not selected for subjective calendar aesthetic.
b2	059	y	y	n	n	y	n	u	Plausible mature adult masculine face and glasses; usable neck; subjective hot criterion uncertain.
b2	060	y	y	n	n	y	n	u	Plausible mature adult masculine face and glasses; subjective hot criterion uncertain.
b2	061	y	y	y	y	y	n	y	Appealing adult masculine face, but ornate headwear and other people fail clean-source constraints.
b2	062	y	n	n	n	u	u	n	Adult feminine presentation; contact-only detail.
b2	063	n	u	n	n	n	u	n	Toddler appearance; no attractiveness assessment.
